bill_id,session_id,bill_number,status,status_desc,status_date,title,description,committee_id,committee,last_action_date,last_action,url,state_link
1915435,2162,HB1001,4,Passed,2025-01-27,"An Act For The Arkansas House Of Representatives Of The Ninety-fifth General Assembly Appropriation For The 2024-2025 Fiscal Year. ","An Act For The Arkansas House Of Representatives Of The Ninety-fifth General Assembly Appropriation For The 2024-2025 Fiscal Year. ",0,,2025-01-27,"Notification that HB1001 is now Act 3",https://legiscan.com/AR/bill/HB1001/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1001&ddBienniumSession=2025%2F2025R
1915265,2162,HB1002,4,Passed,2025-01-16,"The General Appropriation Act For The 2025-2026 Fiscal Year.","The General Appropriation Act For The 2025-2026 Fiscal Year.",0,,2025-01-16,"Notification that HB1002 is now Act 1",https://legiscan.com/AR/bill/HB1002/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1002&ddBienniumSession=2025%2F2025R
1915524,2162,HB1003,4,Passed,2025-04-17,"An Act For The Arkansas House Of Representatives - Staff Appropriation For The 2025-2026 Fiscal Year. ","An Act For The Arkansas House Of Representatives - Staff Appropriation For The 2025-2026 Fiscal Year. ",0,,2025-04-17,"Notification that HB1003 is now Act 871",https://legiscan.com/AR/bill/HB1003/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1003&ddBienniumSession=2025%2F2025R
1892544,2162,HB1004,6,Failed,2025-05-05,"To Require Medicaid Coverage For Postpartum Mothers For One Year After Giving Birth.","To Require Medicaid Coverage For Postpartum Mothers For One Year After Giving Birth.",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1004/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1004&ddBienniumSession=2025%2F2025R
1892541,2162,HB1005,4,Passed,2025-02-03,"To Amend The Law Regarding Tuition Waivers For Arkansas National Guard Soldiers And Airmen To Include Programs Of Study Leading To A Postsecondary Certificate Or Credential.","To Amend The Law Regarding Tuition Waivers For Arkansas National Guard Soldiers And Airmen To Include Programs Of Study Leading To A Postsecondary Certificate Or Credential.",0,,2025-02-03,"Notification that HB1005 is now Act 14",https://legiscan.com/AR/bill/HB1005/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1005&ddBienniumSession=2025%2F2025R
1892542,2162,HB1006,4,Passed,2025-02-03,"&quot;to Redesignate The Fourteenth Judicial District As A Division A Judicial District As It Relates To Prosecuting Attorneys; And To Declare An Emergency.&quot;","&quot;to Redesignate The Fourteenth Judicial District As A Division A Judicial District As It Relates To Prosecuting Attorneys; And To Declare An Emergency.&quot;",0,,2025-02-03,"Notification that HB1006 is now Act 15",https://legiscan.com/AR/bill/HB1006/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1006&ddBienniumSession=2025%2F2025R
1892543,2162,HB1007,4,Passed,2025-03-06,"To Regulate Liability For Shooting Sports Events; And To Provide Immunity To Certain Individuals With Respect To Shooting Sports Events.","To Regulate Liability For Shooting Sports Events; And To Provide Immunity To Certain Individuals With Respect To Shooting Sports Events.",0,,2025-03-06,"Notification that HB1007 is now Act 248",https://legiscan.com/AR/bill/HB1007/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1007&ddBienniumSession=2025%2F2025R
1892578,2162,HB1008,6,Failed,2025-05-05,"To Require Medicaid Coverage For Postpartum Mothers For One Year After Giving Birth.","To Require Medicaid Coverage For Postpartum Mothers For One Year After Giving Birth.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1008/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1008&ddBienniumSession=2025%2F2025R
1892611,2162,HB1009,6,Failed,2025-05-05,"To Allow Pregnancy To Be A Qualifying Event For Enrollment In Certain Health Benefit Plans.","To Allow Pregnancy To Be A Qualifying Event For Enrollment In Certain Health Benefit Plans.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1009/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1009&ddBienniumSession=2025%2F2025R
1892547,2162,HB1010,6,Failed,2025-05-05,"To Set The Reimbursement Rate In The Arkansas Medicaid Program For Maternal Health Services.","To Set The Reimbursement Rate In The Arkansas Medicaid Program For Maternal Health Services.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1010/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1010&ddBienniumSession=2025%2F2025R
1892623,2162,HB1011,6,Failed,2025-05-05,"To Create The Restore Roe Act; And To Restore A Woman&#x27;s Access To Abortion Services.","To Create The Restore Roe Act; And To Restore A Woman&#x27;s Access To Abortion Services.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1011/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1011&ddBienniumSession=2025%2F2025R
1892599,2162,HB1012,6,Failed,2025-05-05,"To Require The Arkansas Medicaid Program To Extend Eligibility To Certain Individuals For Family Planning Services.","To Require The Arkansas Medicaid Program To Extend Eligibility To Certain Individuals For Family Planning Services.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1012/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1012&ddBienniumSession=2025%2F2025R
1892619,2162,HB1013,6,Failed,2025-05-05,"To Protect Fertility Treatment Rights In This State.","To Protect Fertility Treatment Rights In This State.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1013/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1013&ddBienniumSession=2025%2F2025R
1892572,2162,HB1014,6,Failed,2025-05-05,"To Require Coverage Of In Vitro Fertilization Under The State And Public School Life And Health Insurance Program.","To Require Coverage Of In Vitro Fertilization Under The State And Public School Life And Health Insurance Program.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1014/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1014&ddBienniumSession=2025%2F2025R
1892575,2162,HB1015,6,Failed,2025-05-05,"To Amend The Individual Income Tax Laws; And To Create An Income Tax Credit For Dependent Children.","To Amend The Individual Income Tax Laws; And To Create An Income Tax Credit For Dependent Children.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1015/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1015&ddBienniumSession=2025%2F2025R
1892595,2162,HB1016,6,Failed,2025-05-05,"To Create A Sales And Use Tax Exemption For Menstrual Discharge Collection Devices; To Create A Sales And Use Tax Exemption For Diapers; And To Create A Sales And Use Tax Exemption For Certain Items Related To Breastfeeding.","To Create A Sales And Use Tax Exemption For Menstrual Discharge Collection Devices; To Create A Sales And Use Tax Exemption For Diapers; And To Create A Sales And Use Tax Exemption For Certain Items Related To Breastfeeding.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1016/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1016&ddBienniumSession=2025%2F2025R
1892614,2162,HB1017,4,Passed,2025-04-21,"To Amend The Law Regarding Paid Maternity Leave For Public School Employees; And To Require The Division Of Elementary And Secondary Education To Pay For Incurred Costs For Approved Paid Maternity Leave.","To Amend The Law Regarding Paid Maternity Leave For Public School Employees; And To Require The Division Of Elementary And Secondary Education To Pay For Incurred Costs For Approved Paid Maternity Leave.",0,,2025-04-21,"Notification that HB1017 is now Act 904",https://legiscan.com/AR/bill/HB1017/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1017&ddBienniumSession=2025%2F2025R
1892557,2162,HB1018,6,Failed,2025-05-05,"To Create The Strong Families Act; And To Create An Income Tax Credit For Employers That Provide Paid Family And Medical Leave For Certain Employees. ","To Create The Strong Families Act; And To Create An Income Tax Credit For Employers That Provide Paid Family And Medical Leave For Certain Employees. ",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1018/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1018&ddBienniumSession=2025%2F2025R
1892567,2162,HB1019,6,Failed,2025-05-05,"To Create The Affordable Childcare Act Of 2025; To Create An Income Tax Credit For Employers Who Assist Employees With Childcare Costs; And To Replace The Existing Income Tax Credit For Employer-operated Childcare Facilities.","To Create The Affordable Childcare Act Of 2025; To Create An Income Tax Credit For Employers Who Assist Employees With Childcare Costs; And To Replace The Existing Income Tax Credit For Employer-operated Childcare Facilities.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1019/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1019&ddBienniumSession=2025%2F2025R
1892552,2162,HB1020,6,Failed,2025-05-05,"To Repeal The Arkansas Children&#x27;s Educational Freedom Account Program; To Create A New Education Funding Category For Students Who Receive Special Education And Related Services; And To Create The Community Schools Act Fund.","To Repeal The Arkansas Children&#x27;s Educational Freedom Account Program; To Create A New Education Funding Category For Students Who Receive Special Education And Related Services; And To Create The Community Schools Act Fund.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1020/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1020&ddBienniumSession=2025%2F2025R
1892584,2162,HB1021,6,Failed,2025-05-05,"To Create The Early Childhood Education Workforce Quality Incentive Act; And To Create An Income Tax Credit For Certain Early Childhood Education Workers.","To Create The Early Childhood Education Workforce Quality Incentive Act; And To Create An Income Tax Credit For Certain Early Childhood Education Workers.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1021/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1021&ddBienniumSession=2025%2F2025R
1892608,2162,HB1022,6,Failed,2025-05-05,"To Repeal Performance-based Incentive Awards For Public Schools And Open-enrollment Public Charter Schools.","To Repeal Performance-based Incentive Awards For Public Schools And Open-enrollment Public Charter Schools.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1022/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1022&ddBienniumSession=2025%2F2025R
1892564,2162,HB1023,6,Failed,2025-05-05,"To Amend The State Teacher Education Program; And To Amend The Eligibility Requirements For Loan Forgiveness And The Loan Repayment Amounts Under The State Teacher Education Program.","To Amend The State Teacher Education Program; And To Amend The Eligibility Requirements For Loan Forgiveness And The Loan Repayment Amounts Under The State Teacher Education Program.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1023/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1023&ddBienniumSession=2025%2F2025R
1892602,2162,HB1024,6,Failed,2025-05-05,"To Amend The Law Concerning Public Employees; And To Repeal The Law Prohibiting Collective Bargaining.","To Amend The Law Concerning Public Employees; And To Repeal The Law Prohibiting Collective Bargaining.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1024/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1024&ddBienniumSession=2025%2F2025R
1892593,2162,HB1025,6,Failed,2025-05-05,"To Create The Teacher Fair Dismissal Act Of 2025.","To Create The Teacher Fair Dismissal Act Of 2025.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1025/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1025&ddBienniumSession=2025%2F2025R
1892626,2162,HB1026,6,Failed,2025-05-05,"To Create The Arkansas Promise Act; And To Create An Income Tax Credit For Tuition Paid For An Eligible Student At A Public Institution Of Higher Education.","To Create The Arkansas Promise Act; And To Create An Income Tax Credit For Tuition Paid For An Eligible Student At A Public Institution Of Higher Education.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1026/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1026&ddBienniumSession=2025%2F2025R
1892605,2162,HB1027,6,Failed,2025-05-05,"To Create The Brighter Start Act Of 2025; And To Require The Treasurer Of State To Make A One-time Contribution To Each Existing And Future Arkansas Brighter Future Fund Plan Account.","To Create The Brighter Start Act Of 2025; And To Require The Treasurer Of State To Make A One-time Contribution To Each Existing And Future Arkansas Brighter Future Fund Plan Account.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1027/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1027&ddBienniumSession=2025%2F2025R
1892581,2162,HB1028,6,Failed,2025-05-05,"To Amend Provisions Of The Law Concerning Obscenity And The Process For Challenging Materials Included In A Library; And To Require A Library To Have A Policy Prohibiting Book Banning In Order To Receive State Funding.","To Amend Provisions Of The Law Concerning Obscenity And The Process For Challenging Materials Included In A Library; And To Require A Library To Have A Policy Prohibiting Book Banning In Order To Receive State Funding.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1028/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1028&ddBienniumSession=2025%2F2025R
1892559,2162,HB1029,6,Failed,2025-05-05,"To Set The Reimbursement Rate In The Arkansas Medicaid Program For Mental Health Services And Services Related To Addiction.","To Set The Reimbursement Rate In The Arkansas Medicaid Program For Mental Health Services And Services Related To Addiction.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1029/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1029&ddBienniumSession=2025%2F2025R
1892590,2162,HB1030,6,Failed,2025-05-05,"To Require A School Resource Officer Or Law Enforcement Personnel To Obtain Certification In Youth Mental Health First Aid; And To Require A School Counselor To Receive Youth Mental Health First Aid Training.","To Require A School Resource Officer Or Law Enforcement Personnel To Obtain Certification In Youth Mental Health First Aid; And To Require A School Counselor To Receive Youth Mental Health First Aid Training.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1030/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1030&ddBienniumSession=2025%2F2025R
1892617,2162,HB1031,6,Failed,2025-05-05,"To Create The Arkansas Healthy Lifestyle Education Act Of 2025; And To Ensure The Health Curriculum In Arkansas Public Schools Addresses Certain Health Issues Facing Students.","To Create The Arkansas Healthy Lifestyle Education Act Of 2025; And To Ensure The Health Curriculum In Arkansas Public Schools Addresses Certain Health Issues Facing Students.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1031/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1031&ddBienniumSession=2025%2F2025R
1892553,2162,HB1032,6,Failed,2025-05-05,"To Ban Conversion Therapy.","To Ban Conversion Therapy.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1032/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1032&ddBienniumSession=2025%2F2025R
1892674,2162,HB1033,1,Introduced,2024-11-20,"To Create The &quot;arkansas Red Flag Law&quot;; And To Create An Extreme Risk Protection Order And Warrant.","To Create The &quot;arkansas Red Flag Law&quot;; And To Create An Extreme Risk Protection Order And Warrant.",0,,2025-04-15,"Recommended for study in the Interim by the Committee on JUDICIARY COMMITTEE- HOUSE",https://legiscan.com/AR/bill/HB1033/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1033&ddBienniumSession=2025%2F2025R
1892682,2162,HB1034,1,Introduced,2024-11-20,"An Act For The Department Of Human Services - Division Of Aging, Adult, And Behavioral Health Services Fiscal Year 2025-2026 Capital Improvement Appropriation.","An Act For The Department Of Human Services - Division Of Aging, Adult, And Behavioral Health Services Fiscal Year 2025-2026 Capital Improvement Appropriation.",0,,2025-02-26,"WITHDRAWN BY AUTHOR",https://legiscan.com/AR/bill/HB1034/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1034&ddBienniumSession=2025%2F2025R
1892658,2162,HB1035,6,Failed,2025-05-05,"To Create The Online Voter Registration Act Of 2025; To Allow Online Voter Registration; To Amend Arkansas Constitution, Amendment 51; And To Amend The Duties Of The Secretary Of State. ","To Create The Online Voter Registration Act Of 2025; To Allow Online Voter Registration; To Amend Arkansas Constitution, Amendment 51; And To Amend The Duties Of The Secretary Of State. ",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1035/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1035&ddBienniumSession=2025%2F2025R
1892631,2162,HB1036,6,Failed,2025-05-05,"To Amend The Law Concerning Voter Registration; To Allow Voter Registration During Early Voting And On Election Day; And To Amend Provisions Of Arkansas Constitution, Amendment 51. ","To Amend The Law Concerning Voter Registration; To Allow Voter Registration During Early Voting And On Election Day; And To Amend Provisions Of Arkansas Constitution, Amendment 51. ",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1036/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1036&ddBienniumSession=2025%2F2025R
1892644,2162,HB1037,6,Failed,2025-05-05,"An Act To Create The Preregistration To Vote Act; And To Amend Provisions Of Arkansas Constitution, Amendment 51, Under The Authority Granted By Arkansas Constitution, Amendment 51, &#xa7; 19.","An Act To Create The Preregistration To Vote Act; And To Amend Provisions Of Arkansas Constitution, Amendment 51, Under The Authority Granted By Arkansas Constitution, Amendment 51, &#xa7; 19.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1037/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1037&ddBienniumSession=2025%2F2025R
1892633,2162,HB1038,6,Failed,2025-05-05,"To Create The No-excuse Absentee Voting Act Of 2025; To Amend The Law Concerning Absentee Voting; And To Repeal Voter Qualifications For Absentee Voting.","To Create The No-excuse Absentee Voting Act Of 2025; To Amend The Law Concerning Absentee Voting; And To Repeal Voter Qualifications For Absentee Voting.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1038/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1038&ddBienniumSession=2025%2F2025R
1892669,2162,HB1039,6,Failed,2025-05-05,"To Amend Arkansas Law Concerning Absentee Ballots; And To Amend Arkansas Law Concerning Elections.","To Amend Arkansas Law Concerning Absentee Ballots; And To Amend Arkansas Law Concerning Elections.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1039/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1039&ddBienniumSession=2025%2F2025R
1892663,2162,HB1040,6,Failed,2025-05-05,"To Create The Water In Line Act Of 2025; And To Amend The Law Concerning Penalties For Misdemeanor Offenses Related To Voting.","To Create The Water In Line Act Of 2025; And To Amend The Law Concerning Penalties For Misdemeanor Offenses Related To Voting.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1040/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1040&ddBienniumSession=2025%2F2025R
1892641,2162,HB1041,6,Failed,2025-05-05,"To Prohibit Deceptive And Fraudulent Deepfakes In Election Communications.","To Prohibit Deceptive And Fraudulent Deepfakes In Election Communications.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1041/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1041&ddBienniumSession=2025%2F2025R
1892650,2162,HB1042,6,Failed,2025-05-05,"To Create The Direct Democracy Act Of 2025; To Repeal The Ensuring Access For All Arkansans And Voter Protection Act Of 2023; And To Amend The Procedure For The Filing Of A Ballot Initiative Petition And Referendum Petition. ","To Create The Direct Democracy Act Of 2025; To Repeal The Ensuring Access For All Arkansans And Voter Protection Act Of 2023; And To Amend The Procedure For The Filing Of A Ballot Initiative Petition And Referendum Petition. ",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1042/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1042&ddBienniumSession=2025%2F2025R
1892677,2162,HB1043,6,Failed,2025-05-05,"To Require Disclosure And Reporting Of Noncandidate Expenditures Pertaining To Appellate Judicial Elections; And To Adopt New Laws Concerning Appellate Judicial Campaigns.","To Require Disclosure And Reporting Of Noncandidate Expenditures Pertaining To Appellate Judicial Elections; And To Adopt New Laws Concerning Appellate Judicial Campaigns.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1043/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1043&ddBienniumSession=2025%2F2025R
1892731,2162,HB1044,6,Failed,2025-05-05,"To Establish The Arkansas Sports Raffle Act; And To Declare An Emergency.","To Establish The Arkansas Sports Raffle Act; And To Declare An Emergency.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1044/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1044&ddBienniumSession=2025%2F2025R
1892706,2162,HB1045,6,Failed,2025-05-05,"To Place Certain Requirements On An Individual Planning A Crop Residue Burn; And To Address Liability Of An Individual Who Has Followed Crop Residue Burn Requirements.","To Place Certain Requirements On An Individual Planning A Crop Residue Burn; And To Address Liability Of An Individual Who Has Followed Crop Residue Burn Requirements.",0,,2025-05-05,"Died on House Calendar at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1045/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1045&ddBienniumSession=2025%2F2025R
1892738,2162,HB1046,4,Passed,2025-02-06,"To Establish A Blue Envelope Program.","To Establish A Blue Envelope Program.",0,,2025-02-06,"Notification that HB1046 is now Act 16",https://legiscan.com/AR/bill/HB1046/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1046&ddBienniumSession=2025%2F2025R
1892715,2162,HB1047,1,Introduced,2024-11-21,"To Authorize The Arkansas Medicaid Program To Make Presumptive Eligibility Determinations For Pregnant Women.","To Authorize The Arkansas Medicaid Program To Make Presumptive Eligibility Determinations For Pregnant Women.",0,,2025-02-18,"WITHDRAWN BY AUTHOR",https://legiscan.com/AR/bill/HB1047/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1047&ddBienniumSession=2025%2F2025R
1892727,2162,HB1048,4,Passed,2025-02-20,"To Amend The Law Concerning The Incidental Sale Of Goat Milk, Sheep Milk, And Whole Milk That Has Not Been Pasteurized; And To Clarify That The Incidental Sale Of Raw Milk Is Not Limited To A Sale On The Farm.","To Amend The Law Concerning The Incidental Sale Of Goat Milk, Sheep Milk, And Whole Milk That Has Not Been Pasteurized; And To Clarify That The Incidental Sale Of Raw Milk Is Not Limited To A Sale On The Farm.",0,,2025-02-20,"Notification that HB1048 is now Act 125",https://legiscan.com/AR/bill/HB1048/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1048&ddBienniumSession=2025%2F2025R
1892712,2162,HB1049,4,Passed,2025-03-04,"To Amend Arkansas Law Concerning Criminal Offenses; And To Criminalize Unlawful Squatting.","To Amend Arkansas Law Concerning Criminal Offenses; And To Criminalize Unlawful Squatting.",0,,2025-03-04,"Notification that HB1049 is now Act 238",https://legiscan.com/AR/bill/HB1049/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1049&ddBienniumSession=2025%2F2025R
1892741,2162,HB1050,4,Passed,2025-01-30,"To Separate The Offices Of Sheriff And Tax Collector In Poinsett County.","To Separate The Offices Of Sheriff And Tax Collector In Poinsett County.",0,,2025-01-30,"Notification that HB1050 is now Act 12",https://legiscan.com/AR/bill/HB1050/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1050&ddBienniumSession=2025%2F2025R
1892753,2162,HB1051,1,Introduced,2024-11-21,"To Amend The Public School Start Date Requirements.","To Amend The Public School Start Date Requirements.",0,,2025-03-18,"WITHDRAWN BY AUTHOR",https://legiscan.com/AR/bill/HB1051/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1051&ddBienniumSession=2025%2F2025R
1893082,2162,HB1052,1,Introduced,2024-11-25,"To Mandate Coverage For Certain Respiratory Syncytial Virus Disease Immunization Technologies For Certain Individuals.","To Mandate Coverage For Certain Respiratory Syncytial Virus Disease Immunization Technologies For Certain Individuals.",0,,2025-01-22,"WITHDRAWN BY AUTHOR",https://legiscan.com/AR/bill/HB1052/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1052&ddBienniumSession=2025%2F2025R
1893077,2162,HB1053,1,Introduced,2024-11-25,"To Require Reimbursement For Remote Ultrasound Procedures And Remote Fetal Nonstress Tests In The Arkansas Medicaid Program.","To Require Reimbursement For Remote Ultrasound Procedures And Remote Fetal Nonstress Tests In The Arkansas Medicaid Program.",0,,2025-02-18,"WITHDRAWN BY AUTHOR",https://legiscan.com/AR/bill/HB1053/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1053&ddBienniumSession=2025%2F2025R
1893075,2162,HB1054,1,Introduced,2024-11-25,"To Require The Arkansas Medicaid Program To Cover Blood Pressure Monitors For Pregnant And Postpartum Women.","To Require The Arkansas Medicaid Program To Cover Blood Pressure Monitors For Pregnant And Postpartum Women.",0,,2025-02-18,"WITHDRAWN BY AUTHOR",https://legiscan.com/AR/bill/HB1054/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1054&ddBienniumSession=2025%2F2025R
1893120,2162,HB1055,6,Failed,2025-05-05,"To Establish Coverage Diagnosis And Treatment To Slow The Progression Of Alzheimer&#x27;s Disease Or Other Dementia-related Disease Under The State And Public School Life And Health Insurance Program.","To Establish Coverage Diagnosis And Treatment To Slow The Progression Of Alzheimer&#x27;s Disease Or Other Dementia-related Disease Under The State And Public School Life And Health Insurance Program.",0,,2025-05-05,"Died in Senate Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1055/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1055&ddBienniumSession=2025%2F2025R
1894794,2162,HB1056,4,Passed,2025-02-11,"To Create The Joint Committee On Military And Veterans Affairs; And To Declare An Emergency.","To Create The Joint Committee On Military And Veterans Affairs; And To Declare An Emergency.",0,,2025-02-11,"Notification that HB1056 is now Act 34",https://legiscan.com/AR/bill/HB1056/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1056&ddBienniumSession=2025%2F2025R
1894975,2162,HB1057,1,Introduced,2024-12-09,"To Amend The Law Concerning Possession Of A Firearm By Certain Persons; And To Permit The Restoration Of The Right To Possess A Firearm To A Nonviolent Felon.","To Amend The Law Concerning Possession Of A Firearm By Certain Persons; And To Permit The Restoration Of The Right To Possess A Firearm To A Nonviolent Felon.",0,,2025-04-14,"Recommended for study in the Interim by the Committee on JUDICIARY COMMITTEE- HOUSE",https://legiscan.com/AR/bill/HB1057/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1057&ddBienniumSession=2025%2F2025R
1894987,2162,HB1058,6,Failed,2025-05-05,"To Amend The Law Concerning Ethics And Conflicts Of Interest For Public Officers And Employees; And To Prohibit Public Employees From Giving Advance Notice To Entities Of Required Inspections.","To Amend The Law Concerning Ethics And Conflicts Of Interest For Public Officers And Employees; And To Prohibit Public Employees From Giving Advance Notice To Entities Of Required Inspections.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1058/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1058&ddBienniumSession=2025%2F2025R
1894971,2162,HB1059,6,Failed,2025-05-05,"To Provide The Option For A Free Lifetime Hunting And Fishing License To A Commercial Truck Driver Who Is A Resident And Provides Certain Information Related To Human Trafficking.","To Provide The Option For A Free Lifetime Hunting And Fishing License To A Commercial Truck Driver Who Is A Resident And Provides Certain Information Related To Human Trafficking.",0,,2025-05-05,"Died in House Committee at Sine Die adjournment.",https://legiscan.com/AR/bill/HB1059/2025,https://arkleg.state.ar.us/Bills/Detail?id=hb1059&ddBienniumSession=2025%2F2025R
